Time|s,zon.T|degC
858600,21.91067
859500,21.949152
860400,21.972498
861300,21.986658
862200,21.995234
863013.44,21.999994
863013.44,21.999994
863100,21.994257
864000,21.56991
864900,21.04519
865800,20.643549
866700,20.368677
867600,20.188044
868500,20.07049
869315.3,19.999994
869315.3,19.999994
869400,19.997553
870300,20.316614
871200,20.838282
872100,21.260004
873000,21.546503
873900,21.729853
874800,21.844904
875700,21.917048
876600,21.96261
877500,21.991785
877844.8,21.999994
877844.8,21.999994
878400,21.830072
879300,21.304316
880200,20.84228
881100,20.509241
882000,20.2828
882900,20.132044
883800,20.03216
884190.25,19.999994
884190.25,19.999994
884700,20.082819
885600,20.55865
886500,21.042048
887400,21.391108
888300,21.617517
889200,21.758722
890100,21.845972
891000,21.900232
891900,21.934656
892800,21.957483
893700,21.973658
894600,21.98617
895500,21.996943
895764,21.999994
895764,21.999994
896400,21.782679
897300,21.252405
898200,20.806025
899100,20.491663
900000,20.283197
900900,20.148706
901800,20.06338
902700,20.010065
902933.25,19.999994
902933.25,19.999994
903600,20.168116
904500,20.694544
905400,21.179865
906300,21.526636
907200,21.756647
908100,21.907526
908898.25,21.999994
908898.25,21.999994
909000,22.00146
909900,21.640345
910800,21.170221
911700,20.810328
912600,20.56637
913500,20.409296
914400,20.311243
915300,20.25152
916200,20.215815
917100,20.194208
918000,20.179743
918900,20.167902
919800,20.15713
920700,20.146875
921600,20.136713
922500,20.126398
923400,20.115778
924300,20.104761
925200,20.09344
926100,20.082178
927000,20.072016
927900,20.063745
928800,20.057123
929700,20.05163
930600,20.047174
931500,20.043543
932400,20.040125
933300,20.036219
934200,20.031458
935100,20.025965
936000,20.020166
936900,20.014734
937800,20.0104
938700,20.006983
939600,20.003473
940255.9,19.999994
940255.9,19.999994
940500,20.025507
941400,20.456476
942300,20.993128
943200,21.40185
944100,21.673243
945000,21.844843
945900,21.951532
946514.9,21.999994
946514.9,21.999994
946800,21.96026
947700,21.50323
948600,21.02331
949500,20.663446
950400,20.415674
951300,20.249994
952200,20.140345
953100,20.067835
954000,20.019434
954490.56,19.999994
954490.56,19.999994
954900,20.063044
955800,20.536982
956700,21.050531
957600,21.43081
958500,21.683252
959400,21.846338
960300,21.952356
960869.5,21.999994
960869.5,21.999994
961200,21.947931
962100,21.48678
963000,21.01983
963900,20.674067
964800,20.438074
965700,20.28094
966600,20.176508
967500,20.106195
968400,20.057459
969300,20.02212
970013,19.999994
970013,19.999994
970200,20.011133
971100,20.404505
972000,20.935938
972900,21.34875
973800,21.624628
974700,21.799433
975600,21.908197
976500,21.975641
976970.2,21.999994
976970.2,21.999994
977400,21.899744
978300,21.400415
979200,20.930597
980100,20.588434
981000,20.360437
981900,20.215387
982800,20.1242
983700,20.064722
984600,20.024988
985417.1,19.999994
985417.1,19.999994
985500,20.001062
986400,20.347193
987300,20.888575
988200,21.323877
989100,21.619745
990000,21.810205
990900,21.931269
991674.6,21.999994
991674.6,21.999994
991800,21.996454
992700,21.602839
993600,21.11468
994500,20.740046
995400,20.482264
996300,20.311823
997200,20.201014
998100,20.129633
999000,20.08468
999900,20.056879
1000800,20.039179
1001700,20.026209
1002600,20.01449
1003500,20.002863
1003722.75,19.999994
1003722.75,19.999994
1004400,20.18484
1005300,20.720789
1006200,21.206629
1007100,21.548029
1008000,21.768305
1008900,21.905329
1009800,21.989222
1009956.2,21.999994
1009956.2,21.999994
1010700,21.753595
1011600,21.24322
1012500,20.8193
1013400,20.51742
1014300,20.312067
1015200,20.17364
1016100,20.078852
1017000,20.010035
1017154.44,19.999994
1017154.44,19.999994
1017900,20.18905
1018800,20.698359
1019700,21.146936
1020600,21.456446
1021500,21.6524
1022400,21.772028
1023300,21.843683
1024200,21.885859
1025100,21.910242
1026000,21.92422
1026900,21.932367
1027800,21.937128
1028700,21.939875
1029600,21.9414
1030500,21.942225
1031400,21.942713
1032300,21.943048
1033200,21.943201
1034100,21.942133
1035000,21.93728
1035900,21.928797
1036800,21.920038
1037700,21.914545
1038600,21.912012
1039500,21.911188
1040400,21.911371
1041300,21.912134
1042200,21.913233
1043100,21.914576
1044000,21.91601
1044900,21.917261
1045800,21.917566
1046700,21.916742
1047600,21.915339
1048500,21.9143
1049400,21.914331
1050300,21.915308
1051200,21.916498
1052100,21.916681
1053000,21.914698
1053900,21.910822
1054800,21.906824
1055700,21.904474
1056600,21.903559
1057500,21.903345
1058400,21.90365
1059300,21.90426
1060200,21.905024
1061100,21.905909
1062000,21.906885
1062900,21.907923
1063800,21.909113
1064700,21.910486
1065600,21.912165
1066500,21.914637
1067400,21.91894
1068300,21.925959
1069200,21.93551
1070100,21.947077
1071000,21.960718
1071900,21.976099
1072800,21.992426
1073215.4,21.999994
1073215.4,21.999994
1073700,21.864374
1074600,21.347925
1075500,20.884333
1076400,20.553278
1077300,20.33346
1078200,20.19259
1079100,20.104456
1080000,20.050653
1080900,20.018854
1081800,20.00097
1081870.4,19.999994
1081870.4,19.999994
1082700,20.270258
1083600,20.82345
1084500,21.293116
1085400,21.615808
1086300,21.820948
1087200,21.948114
1087734.9,21.999994
1087734.9,21.999994
1088100,21.939386
1089000,21.476099
1089900,21.01562
1090800,20.674494
1091700,20.439081
1092600,20.279596
1093500,20.171198
1094400,20.096094
1095300,20.042383
1096200,20.002253
1096258.2,19.999994
1096258.2,19.999994
1097100,20.256678
1098000,20.78811
1098900,21.235285
1099800,21.541864
1100700,21.738245
1101600,21.860865
1102500,21.935999
1103400,21.98089
1104003,21.999994
1104003,21.999994
1104300,21.945307
1105200,21.45907
1106100,20.964716
1107000,20.600397
1107900,20.354883
1108800,20.194025
1109700,20.087397
1110600,20.015131
1110839.2,19.999994
1110839.2,19.999994
1111500,20.153162
1112400,20.662745
1113300,21.133081
1114200,21.46554
1115100,21.681269
1116000,21.816858
1116900,21.900873
1117800,21.952906
1118700,21.985437
1119289.2,21.999994
1119289.2,21.999994
