Time|s,weaBus.TDryBul|degC,weaBus.HGloHor|W/m2
722700,-6.1463075,117.74205
723600,-5.6000123,149.71394
724500,-5.1511292,181.07887
725400,-4.7131715,207
726300,-4.293616,227.72655
727200,-3.9,246.51717
728100,-3.5863404,263.0492
729000,-3.3500123,277
729900,-3.1136842,289.16916
730800,-2.799994,300.73178
731700,-2.3037171,311.92853
732600,-1.6713623,323
733500,-1.0533203,334.85706
734400,-0.6000122,346.52982
735300,-0.28604737,355.43765
736200,0.016381836,359
737100,0.3106018,348.85617
738000,0.6,324.75372
738900,0.93392336,296.2744
739800,1.2940613,273
740700,1.5821472,257.33807
741600,1.7000061,243.5462
742500,1.7000061,228.98123
743400,1.7000061,211
744300,1.7000061,184.99294
745200,1.7000061,152.05156
746100,1.7000061,118.08442
747000,1.7000061,89
747900,1.7000061,64.714874
748800,1.7000061,42.663223
749700,1.4343811,25.029959
750600,0.85,14
751500,0.2656189,7.875
752400,-6.1035157e-06,3.5
753300,-6.1035157e-06,0.875
754200,-6.1035157e-06,0
755100,-6.1035157e-06,0
756000,-6.1035157e-06,0
756900,-6.1035157e-06,0
757800,-6.1035157e-06,0
758700,-6.1035157e-06,0
759600,-6.1035157e-06,0
760500,0.18905029,0
761400,0.5958191,0
762300,0.97969973,0
763200,1.1,0
764100,0.9984375,0
765000,0.8791748,0
765900,0.74532473,0
766800,0.6,0
767700,0.4500061,0
768600,0.3000122,0
769500,0.14998779,0
770400,-6.1035157e-06,0
771300,-0.15,0
772200,-0.2999939,0
773100,-0.4499878,0
774000,-0.6000122,0
774900,-0.76248777,0
775800,-0.9249939,0
776700,-1.0499939,0
777600,-1.1000122,0
778500,-1.1000122,0
779400,-1.1000122,0
780300,-1.1000122,0
781200,-1.1000122,0
782100,-1.1000122,0
783000,-1.1000122,0
783900,-1.1000122,0
784800,-1.1000122,0
785700,-1.0474304,0
786600,-0.91818845,0
787500,-0.75482786,0
788400,-0.6000122,0
789300,-0.45612183,0
790200,-0.30264893,0
791100,-0.14786378,0
792000,-6.1035157e-06,0
792900,0.11953125,0
793800,0.1770874,0
794700,0.14608154,0
795600,-6.1035157e-06,0
796500,-0.3225464,0
797400,-0.7892822,0
798300,-1.286383,0
799200,-1.6999878,0
800100,-2.0216126,0
801000,-2.3153443,0
801900,-2.5763917,0.925
802800,-2.799994,4.3
803700,-2.9658875,11.025
804600,-3.0391297,22
805500,-2.992804,39.420536
806400,-2.799994,63.471428
807300,-2.43125,92.036606
808200,-1.9499878,123
809100,-1.4687561,155.81317
810000,-1.1000122,190.21133
810900,-0.82498777,224.50381
811800,-0.5499939,257
812700,-0.275,287.0819
813600,-6.1035157e-06,315.1839
814500,0.2749878,341.19397
815400,0.55001223,365
816300,0.8250061,384.91046
817200,1.1,399.92792
818100,1.3218628,410.9814
819000,1.4666687,419
819900,1.5781189,424.0951
820800,1.7000061,425.69278
821700,1.8421875,423.6941
822600,1.9791809,418
823500,2.1015563,409.04947
824400,2.200006,396.87332
825300,2.181024,380.76053
826200,2.0244079,360
827100,1.8305908,335.52893
828000,1.7000061,308.89856
828900,1.6866089,280.3189
829800,1.7297608,250
830700,1.7580506,216.93028
831600,1.7000061,181.51598
832500,1.5375,146.09369
833400,1.3000122,113
834300,0.98751223,83.146164
835200,0.6,56.873608
836100,0.1750122,35.66425
837000,-0.2500061,21
837900,-0.6749939,11.5887785
838800,-1.1000122,5.0511365
839700,-1.525,1.2379261
840600,-1.9499878,0
841500,-2.3750062,0
842400,-2.799994,0
843300,-3.221869,0
844200,-3.6333375,0
845100,-4.028113,0
846000,-4.4,0
846900,-4.661017,0
847800,-4.787726,0
848700,-4.8705506,0
849600,-5.000006,0
850500,-5.2466187,0
851400,-5.566443,0
852300,-5.878058,0
853200,-6.1000123,0
854100,-5.890631,0
855000,-5.250006,0
855900,-4.609381,0
856800,-4.4,0
857700,-4.549994,0
858600,-4.699988,0
859500,-4.8500123,0
860400,-5.000006,0
861300,-5.15,0
862200,-5.299994,0
863100,-5.449988,0
864000,-5.6000123,0
864900,-5.5495973,0
865800,-5.215613,0
866700,-4.7738404,0
867600,-4.4,0
868500,-4.116797,0
869400,-3.8343873,0
870300,-3.5597596,0
871200,-3.299994,0
872100,-3.0918946,0
873000,-2.9534059,0
873900,-2.863196,0
874800,-2.799994,0
875700,-2.7563233,0
876600,-2.7403321,0
877500,-2.754187,0
878400,-2.799994,0
879300,-2.9004884,0
880200,-3.0471559,0
881100,-3.1952271,0
882000,-3.299994,0
882900,-3.3255677,0
883800,-3.299994,0
884700,-3.2744203,0
885600,-3.299994,0
886500,-3.418036,0
887400,-3.5965943,0
888300,-3.7768617,1.0434783
889200,-3.9,3.7826087
890100,-3.9575257,7.630435
891000,-3.9783998,12
891900,-3.9600892,18.425745
892800,-3.9,28.450537
893700,-3.8118043,41.50006
894600,-3.6966004,57
895500,-3.5330873,78.40346
896400,-3.299994,106.04217
897300,-3.025,134.6598
898200,-2.7500062,159
899100,-2.4750123,174.08525
900000,-2.199988,182.6113
900900,-1.9249939,190.8317
901800,-1.65,205
902700,-1.3750061,235.6511
903600,-1.1000122,279.7595
904500,-0.82498777,323.23813
905400,-0.5499939,352
906300,-0.275,365.57
907200,-6.1035157e-06,373.14557
908100,0.40651855,375.14835
909000,0.99239504,372
909900,1.632074,366.06482
910800,2.200006,358.5062
911700,2.6750731,347.9445
912600,3.1183105,333
913500,3.5273986,314.4064
914400,3.8999877,293.5961
915300,4.2285705,270.2378
916200,4.464288,244
917100,4.542871,214.35364
918000,4.3999877,182.39767
918900,4.124994,150.24287
919800,3.85,120
920700,3.575006,91.7691
921600,3.300012,65.38426
922500,3.0249877,42.557293
923400,2.7499938,25
924300,2.475,13.020833
925200,2.200006,5.3240743
926100,2.027124,1.2152778
927000,2.0139709,0
927900,2.0938354,0
928800,2.200006,0
929700,2.335565,0
930600,2.5144286,0
931500,2.68609,0
932400,2.800012,0
933300,2.831964,0
934200,2.817041,0
935100,2.7936034,0
936000,2.800012,0
936900,2.9079528,0
937800,3.0954528,0
938700,3.2602172,0
939600,3.300012,0
940500,3.1212707,0
941400,2.788507,0
942300,2.4364867,0
943200,2.200006,0
944100,2.0723815,0
945000,1.9518372,0
945900,1.8303772,0
946800,1.7000061,0
947700,1.553003,0
948600,1.3955323,0
949500,1.2402893,0
950400,1.1,0
951300,1.0171448,0
952200,1.0075928,0
953100,1.0442444,0
954000,1.1,0
954900,1.1796814,0
955800,1.3062378,0
956700,1.4796997,0
957600,1.7000061,0
958500,2.0334105,0
959400,2.4786925,0
960300,2.9346251,0
961200,3.300012,0
962100,3.5642028,0
963000,3.7681823,0
963900,3.8880553,0
964800,3.8999877,0
965700,3.8218627,0
966600,3.6916747,0
967500,3.5156188,0
968400,3.300012,0
969300,3.0249877,0
970200,2.7083373,0
971100,2.4125,0
972000,2.200006,0
972900,2.061914,0
973800,1.9400879,0
974700,1.8232361,2.172897
975600,1.7000061,7.7943926
976500,1.5551697,15.518692
977400,1.3939453,24
978300,1.2357422,37.652737
979200,1.1,57.57942
980100,1.2992188,77.466385
981000,1.8909851,91
981900,2.5122313,91.325806
982800,2.800012,82.283104
983700,2.800012,73.598854
984600,2.800012,75
985500,2.800012,85.86488
986400,2.800012,98.12019
987300,2.800012,110.31541
988200,2.800012,121
989100,2.800012,130.54242
990000,2.800012,139.91734
990900,2.800012,148.58359
991800,2.800012,156
992700,2.800012,161.47183
993600,2.800012,165.14711
994500,2.800012,167.74883
995400,2.800012,170
996300,2.800012,172.87022
997200,2.800012,175.17035
998100,2.8887877,174.38531
999000,3.078424,168
999900,3.253839,156.86942
1000800,3.300012,144.00893
1001700,3.1272826,130.14397
1002600,2.8045592,116
1003500,2.4545531,101.80859
1004400,2.200006,87.447914
1005300,2.0761046,73.11328
1006200,1.9938294,59
1007100,1.8896424,45.273792
1008000,1.7000061,32.417614
1008900,1.4383789,21.102629
1009800,1.1643006,12
1010700,0.88305056,5.752841
1011600,0.6,2.1136363
1012500,0.31643066,0.41761363
1013400,0.025964355,0
