Time|s,walCap.T|degC,zon.T|degC
894600,17.116907,17.124445
895500,17.111414,17.118738
896400,17.1065,17.113367
897300,17.10238,17.108454
898200,17.099085,17.104242
899100,17.096582,17.100733
900000,17.094965,17.097986
900900,17.094385,17.096155
901800,17.094995,17.095331
902700,17.097345,17.095789
903600,17.102686,17.09817
904500,17.111475,17.103144
905400,17.122828,17.110956
906300,17.13534,17.121088
907200,17.148249,17.132654
908100,17.161463,17.145014
909000,17.175104,17.157953
909900,17.189325,17.171412
910800,17.204248,17.18551
911700,17.219812,17.20022
912600,17.236017,17.215631
913500,17.252893,17.231653
914400,17.270472,17.248346
915300,17.288752,17.26571
916200,17.307734,17.283808
917100,17.32702,17.302454
918000,17.34588,17.321344
918900,17.363459,17.3399
919800,17.379114,17.357386
920700,17.392145,17.373133
921600,17.401514,17.386347
922500,17.406641,17.396265
923400,17.408075,17.40243
924300,17.40713,17.405237
925200,17.404657,17.405512
926100,17.401026,17.403986
927000,17.396723,17.401117
927900,17.392267,17.397425
928800,17.387873,17.393305
929700,17.38354,17.389063
930600,17.379267,17.38479
931500,17.375025,17.380518
932400,17.370813,17.376307
933300,17.366632,17.372095
934200,17.362452,17.367884
935100,17.35827,17.363703
936000,17.35412,17.359522
936900,17.34997,17.355371
937800,17.34588,17.351252
938700,17.341822,17.347132
939600,17.337732,17.343012
940500,17.333582,17.338923
941400,17.329432,17.334772
942300,17.32516,17.330591
943200,17.320795,17.326319
944100,17.316431,17.322016
945000,17.312037,17.317652
945900,17.30758,17.313288
946800,17.303095,17.308863
947700,17.298609,17.304407
948600,17.294062,17.29989
949500,17.289484,17.295374
950400,17.284876,17.290827
951300,17.280207,17.286219
952200,17.275599,17.28161
953100,17.27093,17.276972
954000,17.266321,17.272364
954900,17.261713,17.267725
955800,17.257135,17.263117
956700,17.252619,17.25857
957600,17.248163,17.254053
958500,17.24383,17.249598
959400,17.239588,17.245234
960300,17.235407,17.24093
961200,17.231379,17.23675
962100,17.227411,17.23266
