Time|s,zon.T|degC,vavDam.y
306900,21.925135,0
307800,21.547052,0
308700,21.30752,0
309600,21.156,0
310500,21.05868,0
311308.44,20.999994,0
311308.44,20.999994,0
311400,21.01629,0
312300,22.873194,0
312343.44,22.999994,0
312343.44,22.999994,0
313200,23.560907,0
314100,22.844873,0
315000,22.17129,0
315900,21.707026,0
316800,21.40957,0
317700,21.221674,0
318600,21.101892,0
319500,21.023859,0
319867.9,20.999994,0
319867.9,20.999994,0
320400,21.645014,0
320902.9,22.999994,0
320902.9,22.999994,0
321300,23.61352,0
322200,23.239527,0
323100,22.489435,0
324000,21.918543,0
324900,21.542994,0
325800,21.304712,0
326700,21.153467,0
327600,21.055841,0
328352.84,20.999994,0
328352.84,20.999994,0
328500,21.047297,0
329388.5,22.999994,0
329388.5,22.999994,0
329400,23.032984,0
330300,23.52682,0
331200,22.794092,0
332100,22.130945,0
333000,21.67718,0
333900,21.386652,0
334800,21.202814,0
335700,21.08523,0
336600,21.008295,0
336722.66,20.999994,0
336722.66,20.999994,0
337500,22.261652,0
337758.9,22.999994,0
337758.9,22.999994,0
338400,23.64126,0
339300,23.022974,0
340200,22.303217,0
341100,21.78808,0
342000,21.45437,0
342900,21.242945,0
343800,21.108149,0
344700,21.02041,0
344974.53,20.999994,0
344974.53,20.999994,0
345600,21.862635,0
346011.7,22.999994,0
346011.7,22.999994,0
346500,23.641596,0
347400,23.150629,0
348300,22.404993,0
349200,21.85238,0
350100,21.491144,0
351000,21.261988,0
351900,21.116205,0
352800,21.021723,0
353072.5,20.999994,0
353072.5,20.999994,0
353700,21.865961,0
354110.62,22.999994,0
354110.62,22.999994,0
354600,23.64004,0
355500,23.144861,0
356400,22.397364,0
357300,21.843836,0
358200,21.48208,0
359100,21.252527,0
360000,21.106318,0
360900,21.011316,0
361036.62,20.999994,0
361036.62,20.999994,0
361800,22.217096,0
362075.97,22.999994,0
362075.97,22.999994,0
362700,23.636927,0
363600,23.020105,0
364500,22.290094,0
365400,21.765894,0
366300,21.42547,0
367200,21.20907,0
368100,21.070337,0
368761.38,20.999994,0
368761.38,20.999994,0
369000,21.127283,0
369803.2,22.999994,0
369803.2,22.999994,0
369900,23.241327,0
370800,23.44781,0
371700,22.682978,0
372600,22.029444,0
373500,21.590143,0
374400,21.315485,0
375300,21.15188,0
376200,21.061457,0
377100,21.019648,0
378000,21.01095,0
378900,21.025995,0
379800,21.05874,0
380700,21.105036,0
381600,21.161646,0
382500,21.226282,0
383400,21.296015,0
384300,21.36886,0
385200,21.444178,0
386100,21.52154,0
387000,21.600641,0
387900,21.681177,0
388800,21.762903,0
389700,21.845514,0
390600,21.928675,0
391500,22.011683,0
392400,22.093561,0
393300,22.173212,0
394200,22.249811,0
395100,22.322992,0
396000,22.392542,0
396900,22.458124,0
397800,22.519403,0
398700,22.5758,0
399600,22.625574,0
400500,22.666437,0
401400,22.69732,0
402300,22.719385,0
403200,22.73498,0
404100,22.74563,0
405000,22.752192,0
405900,22.755426,0
406800,22.755823,0
407700,22.753687,0
408600,22.749414,0
409500,22.743677,0
410400,22.737146,0
411300,22.730158,0
412200,22.722895,0
413100,22.715418,0
414000,22.707819,0
414900,22.70016,0
415800,22.692377,0
416700,22.684504,0
417600,22.676477,0
418500,22.66836,0
419400,22.66012,0
420300,22.651789,0
421200,22.643366,0
422100,22.634851,0
423000,22.626245,0
423900,22.617517,0
424800,22.608728,0
425700,22.599878,0
426600,22.590967,0
427500,22.581995,0
428400,22.573023,0
429300,22.56402,0
430200,22.554987,0
431100,22.545923,0
432000,22.536798,0
432900,22.527613,0
433800,22.518335,0
434700,22.508966,0
435600,22.499506,0
436500,22.489985,0
437400,22.480433,0
438300,22.47085,0
439200,22.461267,0
440100,22.451654,0
441000,22.44201,0
441900,22.432306,0
442800,22.422571,0
443700,22.412745,0
444600,22.402826,0
445500,22.392786,0
446400,22.382654,0
447300,22.37243,0
448200,22.362116,0
449100,22.35177,0
450000,22.341425,0
450900,22.331049,0
451800,22.320642,0
452700,22.310236,0
453600,22.29983,0
454500,22.289362,0
455400,22.278925,0
456300,22.268549,0
457200,22.258326,0
458100,22.24859,0
459000,22.239862,0
459900,22.233118,0
460800,22.230951,0
461700,22.23672,0
462600,22.252802,0
463500,22.279078,0
464400,22.313807,0
465300,22.35528,0
466200,22.402369,0
467100,22.45373,0
468000,22.507654,0
468900,22.561884,0
469800,22.614344,0
470700,22.66302,0
471600,22.704584,0
472500,22.735376,0
473400,22.754267,0
